NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FUS.MOD	FUS.MOD	Details ...	78	0.69147635	1.852352	0.007633588	0.29155782	0.096	2117	tags=58%, list=13%, signal=66%	
PNN.MOD	PNN.MOD	Details ...	84	0.67887056	1.7394791	0.024952015	0.49699742	0.274	2217	tags=57%, list=13%, signal=66%	
SKIL.MOD	SKIL.MOD	Details ...	50	0.56195915	1.5263573	0.06560636	1.0	0.776	2282	tags=42%, list=14%, signal=49%	
FOXJ2.MOD	FOXJ2.MOD	Details ...	93	0.65682364	1.5182936	0.11354582	1.0	0.792	3916	tags=73%, list=24%, signal=95%	
PHF1.MOD	PHF1.MOD	Details ...	89	0.51458997	1.4943577	0.14117648	1.0	0.833	5590	tags=61%, list=34%, signal=91%	
WHSC1L1.MOD	WHSC1L1.MOD	Details ...	92	0.5609702	1.455408	0.1423077	1.0	0.876	4302	tags=51%, list=26%, signal=69%	
BCLAF1.MOD	BCLAF1.MOD	Details ...	85	0.49555123	1.4419688	0.12716763	1.0	0.89	2671	tags=38%, list=16%, signal=45%	
FUBP1.MOD	FUBP1.MOD	Details ...	88	0.5678255	1.4389075	0.15851273	1.0	0.893	4052	tags=52%, list=25%, signal=69%	
JUNB.MOD	JUNB.MOD	Details ...	86	0.65848947	1.4278414	0.17330678	1.0	0.902	3468	tags=71%, list=21%, signal=89%	
MEF2A.MOD	MEF2A.MOD	Details ...	80	0.62030786	1.3991401	0.17307693	1.0	0.921	4406	tags=66%, list=27%, signal=90%	
CCNT2.MOD	CCNT2.MOD	Details ...	89	0.608371	1.3920038	0.20961538	0.9857897	0.93	4118	tags=62%, list=25%, signal=82%	
HBP1.MOD	HBP1.MOD	Details ...	97	0.6461343	1.3894756	0.17073171	0.91153854	0.933	5038	tags=84%, list=31%, signal=120%	
HIF1A.MOD	HIF1A.MOD	Details ...	82	0.5648029	1.3697041	0.22413793	0.9089043	0.948	4889	tags=63%, list=30%, signal=90%	
AFF1.MOD	AFF1.MOD	Details ...	91	0.6362932	1.3678434	0.17279412	0.84997475	0.948	4843	tags=77%, list=29%, signal=108%	
FLI1.MOD	FLI1.MOD	Details ...	98	0.641181	1.328248	0.24596775	0.9188111	0.974	4402	tags=73%, list=27%, signal=100%	
FOXO3.MOD	FOXO3.MOD	Details ...	95	0.64443153	1.3267707	0.23217922	0.865496	0.974	3989	tags=72%, list=24%, signal=94%	
SP1.MOD	SP1.MOD	Details ...	98	0.65257293	1.3110898	0.26653308	0.85950226	0.977	5254	tags=89%, list=32%, signal=130%	
BTAF1.MOD	BTAF1.MOD	Details ...	87	0.53552866	1.302649	0.2596154	0.8344904	0.981	5310	tags=59%, list=32%, signal=86%	
PBX2.MOD	PBX2.MOD	Details ...	96	0.6486862	1.2910999	0.25360826	0.8179098	0.984	3804	tags=72%, list=23%, signal=93%	
BAZ1A.MOD	BAZ1A.MOD	Details ...	95	0.6545272	1.2880698	0.27586207	0.7848902	0.985	4353	tags=79%, list=26%, signal=107%	
ELF4.MOD	ELF4.MOD		94	0.5610731	1.2777284	0.29435483	0.77051955	0.988	4569	tags=62%, list=28%, signal=85%	
STAT3.MOD	STAT3.MOD		96	0.6493294	1.2734541	0.29183674	0.74450475	0.988	4454	tags=80%, list=27%, signal=109%	
THBD.MOD	THBD.MOD		92	0.61789143	1.2706747	0.31462926	0.71845096	0.988	4784	tags=77%, list=29%, signal=108%	
STAT6.MOD	STAT6.MOD		92	0.6069132	1.2524654	0.31428573	0.7240352	0.99	4561	tags=71%, list=28%, signal=97%	
STAT5B.MOD	STAT5B.MOD		86	0.63491964	1.2372365	0.33466935	0.7243198	0.991	5553	tags=92%, list=34%, signal=138%	
NAB1.MOD	NAB1.MOD		94	0.5938297	1.2324761	0.35470942	0.70513195	0.991	5820	tags=83%, list=35%, signal=128%	
ETS2.MOD	ETS2.MOD		91	0.5077852	1.2262503	0.34653464	0.68958396	0.992	4406	tags=51%, list=27%, signal=69%	
CBX1.MOD	CBX1.MOD		91	0.57043254	1.2217216	0.351626	0.67252386	0.992	5820	tags=77%, list=35%, signal=118%	
SMARCC1.MOD	SMARCC1.MOD		86	0.49692732	1.2065797	0.3617021	0.6728899	0.994	4648	tags=50%, list=28%, signal=69%	
STAT2.MOD	STAT2.MOD		93	0.56023395	1.1257812	0.46096656	0.7760394	0.997	6099	tags=73%, list=37%, signal=115%	
ZBTB7B.MOD	ZBTB7B.MOD		98	0.5306339	1.1171265	0.45454547	0.76567996	0.997	6397	tags=76%, list=39%, signal=123%	
STAT1.MOD	STAT1.MOD		95	0.5401083	1.0969368	0.48175183	0.7715767	0.997	5988	tags=71%, list=36%, signal=110%	
IRF7.MOD	IRF7.MOD		94	0.54232115	1.0907232	0.47476634	0.75631833	0.998	6099	tags=74%, list=37%, signal=118%	
TAF2.MOD	TAF2.MOD		92	0.48092368	1.0576634	0.50093806	0.77978176	0.999	3649	tags=38%, list=22%, signal=49%	
PKNOX1.MOD	PKNOX1.MOD		74	0.4956722	1.050778	0.4970646	0.766623	0.999	6235	tags=69%, list=38%, signal=110%	
CXCR1.MOD	CXCR1.MOD		95	0.5347909	1.032359	0.53360486	0.76918685	0.999	5771	tags=65%, list=35%, signal=100%	
MTA1.MOD	MTA1.MOD		97	0.33863458	1.0297129	0.43452382	0.7515762	0.999	4953	tags=41%, list=30%, signal=59%	
HAT1.MOD	HAT1.MOD		82	0.40788832	1.0165726	0.49129593	0.7479828	1.0	5135	tags=50%, list=31%, signal=72%	
HDAC4.MOD	HDAC4.MOD		96	0.4374058	1.0048617	0.5301205	0.7434403	1.0	4955	tags=49%, list=30%, signal=70%	
ETF1.MOD	ETF1.MOD		86	0.33869213	0.98471564	0.4940476	0.7472483	1.0	3885	tags=33%, list=24%, signal=42%	
RBL2.MOD	RBL2.MOD		87	0.36734432	0.98230463	0.49325627	0.73134875	1.0	3716	tags=34%, list=23%, signal=44%	
CBX5.MOD	CBX5.MOD		93	0.3591244	0.96991915	0.50803214	0.7270873	1.0	3958	tags=34%, list=24%, signal=45%	
MORF4L2.MOD	MORF4L2.MOD		90	0.28084952	0.96428025	0.5018797	0.71532434	1.0	2414	tags=24%, list=15%, signal=28%	
FOS.MOD	FOS.MOD		79	0.36841148	0.91925013	0.572	0.7439534	1.0	5219	tags=48%, list=32%, signal=70%	
MLL.MOD	MLL.MOD		94	0.3850024	0.90000546	0.5980582	0.7465061	1.0	5634	tags=48%, list=34%, signal=72%	
RREB1.MOD	RREB1.MOD		94	0.28896898	0.80027264	0.63257575	0.82430136	1.0	5164	tags=37%, list=31%, signal=54%	
YY1.MOD	YY1.MOD		91	0.26730582	0.77609867	0.6777996	0.8288371	1.0	4104	tags=30%, list=25%, signal=39%	
RUNX1.MOD	RUNX1.MOD		96	0.20538455	0.640359	0.79813087	0.9331182	1.0	4340	tags=27%, list=26%, signal=37%	
RBBP7.MOD	RBBP7.MOD		95	0.21608625	0.63040185	0.8250497	0.9222686	1.0	3283	tags=23%, list=20%, signal=29%	
CHD3.MOD	CHD3.MOD		87	0.23483987	0.59969175	0.80942625	0.92972636	1.0	3117	tags=22%, list=19%, signal=27%	
CD33.MOD	CD33.MOD		95	0.23758073	0.59389013	0.75633526	0.9165793	1.0	4184	tags=24%, list=25%, signal=32%	
NFATC3.MOD	NFATC3.MOD		90	0.20464706	0.5542957	0.8462998	0.9312367	1.0	3972	tags=26%, list=24%, signal=33%	
