NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NCOA3.MOD	NCOA3.MOD	Details ...	90	-0.8127867	-1.9859365	0.0	0.012422958	0.012	1284	tags=67%, list=8%, signal=72%	
IRF8.MOD	IRF8.MOD	Details ...	95	-0.7270632	-1.9017125	0.009823183	0.03958855	0.042	2923	tags=71%, list=18%, signal=85%	
FUBP1.MOD	FUBP1.MOD	Details ...	88	-0.63777995	-1.8973018	0.009765625	0.028537685	0.044	3203	tags=56%, list=19%, signal=69%	
CBX5.MOD	CBX5.MOD	Details ...	93	-0.6827014	-1.8716946	0.002057613	0.03434261	0.069	3102	tags=65%, list=19%, signal=79%	
BTAF1.MOD	BTAF1.MOD	Details ...	87	-0.6456361	-1.8706335	0.008016032	0.028061423	0.069	4000	tags=64%, list=24%, signal=85%	
SMAD3.MOD	SMAD3.MOD	Details ...	94	-0.6769539	-1.8625367	0.0020491802	0.02856458	0.077	3208	tags=65%, list=19%, signal=80%	
NFATC3.MOD	NFATC3.MOD	Details ...	90	-0.67056495	-1.8624223	0.0041753654	0.024483927	0.077	3725	tags=70%, list=23%, signal=90%	
CD19.MOD	CD19.MOD	Details ...	92	-0.8299129	-1.8452055	0.0	0.026938172	0.094	1379	tags=76%, list=8%, signal=83%	
MLL.MOD	MLL.MOD	Details ...	94	-0.7194093	-1.8419237	0.008213553	0.025464628	0.1	3623	tags=79%, list=22%, signal=100%	
RBL2.MOD	RBL2.MOD	Details ...	87	-0.6584126	-1.7923312	0.021568628	0.04170333	0.153	3055	tags=57%, list=19%, signal=70%	
MTA1.MOD	MTA1.MOD	Details ...	97	-0.54664093	-1.7533386	0.03726708	0.058613013	0.212	4476	tags=57%, list=27%, signal=77%	
RBBP7.MOD	RBBP7.MOD	Details ...	95	-0.5912248	-1.7442114	0.017021276	0.05929428	0.227	3478	tags=54%, list=21%, signal=68%	
CHD3.MOD	CHD3.MOD	Details ...	87	-0.67835397	-1.709575	0.027139874	0.077133894	0.276	3061	tags=64%, list=19%, signal=79%	
TAF2.MOD	TAF2.MOD	Details ...	92	-0.6881633	-1.690535	0.04040404	0.086502016	0.332	3826	tags=73%, list=23%, signal=94%	
SMARCC1.MOD	SMARCC1.MOD	Details ...	86	-0.60547924	-1.6905321	0.056640625	0.080735214	0.332	4192	tags=58%, list=25%, signal=78%	
TCF12.MOD	TCF12.MOD	Details ...	97	-0.6050992	-1.6239002	0.04329897	0.12957409	0.485	4261	tags=62%, list=26%, signal=83%	
IKZF1.MOD	IKZF1.MOD	Details ...	93	-0.65398	-1.6235114	0.060165975	0.12218939	0.486	2376	tags=53%, list=14%, signal=61%	
PNN.MOD	PNN.MOD	Details ...	84	-0.593652	-1.6017997	0.04761905	0.1356371	0.542	2942	tags=44%, list=18%, signal=53%	
