NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CD14.MOD	CD14.MOD	Details ...	95	0.7475132	1.7315235	0.010460251	1.0	0.31	3209	tags=82%, list=19%, signal=101%	
NFKB1.MOD	NFKB1.MOD	Details ...	95	0.54340994	1.6862658	0.036324788	0.79095435	0.418	4933	tags=59%, list=30%, signal=84%	
IL15RA.MOD	IL15RA.MOD	Details ...	94	0.73365384	1.6712438	0.04525862	0.5946629	0.459	3380	tags=80%, list=21%, signal=100%	
ETF1.MOD	ETF1.MOD	Details ...	86	0.60282546	1.6314325	0.06277056	0.6055367	0.552	4507	tags=65%, list=27%, signal=89%	
MPO.MOD	MPO.MOD	Details ...	83	0.662571	1.6126693	0.022727273	0.55896604	0.602	4250	tags=78%, list=26%, signal=105%	
CD33.MOD	CD33.MOD	Details ...	95	0.7196274	1.6025156	0.06818182	0.4984593	0.629	3767	tags=84%, list=23%, signal=109%	
CD4.MOD	CD4.MOD	Details ...	95	0.6250838	1.6001211	0.08668076	0.43525127	0.638	4496	tags=74%, list=27%, signal=101%	
SMARCD2.MOD	SMARCD2.MOD	Details ...	92	0.5894181	1.588999	0.10995851	0.41147035	0.665	4295	tags=62%, list=26%, signal=83%	
HDAC4.MOD	HDAC4.MOD	Details ...	96	0.6960035	1.5278394	0.05882353	0.54743195	0.779	3313	tags=75%, list=20%, signal=93%	
CBX3.MOD	CBX3.MOD	Details ...	94	0.57784915	1.5211631	0.15294118	0.5138893	0.789	4106	tags=60%, list=25%, signal=79%	
HAT1.MOD	HAT1.MOD	Details ...	82	0.621275	1.5170903	0.09429824	0.47783422	0.799	3781	tags=63%, list=23%, signal=82%	
RUNX1.MOD	RUNX1.MOD	Details ...	96	0.4796139	1.4963171	0.12711865	0.49730468	0.828	3677	tags=42%, list=22%, signal=53%	
ETS2.MOD	ETS2.MOD	Details ...	91	0.6613049	1.4695939	0.091116175	0.53704965	0.869	4211	tags=78%, list=26%, signal=104%	
ZBTB7B.MOD	ZBTB7B.MOD	Details ...	98	0.67225695	1.3824264	0.16997792	0.7593226	0.954	3366	tags=73%, list=20%, signal=92%	
CBX1.MOD	CBX1.MOD	Details ...	91	0.62086844	1.2927699	0.2979684	0.9801562	0.987	5369	tags=80%, list=33%, signal=118%	
FOS.MOD	FOS.MOD	Details ...	79	0.53103316	1.26778	0.30588236	0.99443454	0.993	5994	tags=72%, list=36%, signal=113%	
CXCR1.MOD	CXCR1.MOD	Details ...	95	0.6732054	1.259369	0.25494507	0.958532	0.993	4155	tags=80%, list=25%, signal=106%	
PKNOX1.MOD	PKNOX1.MOD	Details ...	74	0.58003753	1.2238494	0.3398693	1.0	0.997	4544	tags=66%, list=28%, signal=91%	
STAT6.MOD	STAT6.MOD	Details ...	92	0.6105588	1.2188314	0.367713	0.9607303	0.997	5380	tags=79%, list=33%, signal=117%	
THBD.MOD	THBD.MOD	Details ...	92	0.62243766	1.1952789	0.38724375	0.96458304	0.997	5269	tags=85%, list=32%, signal=124%	
NAB1.MOD	NAB1.MOD		94	0.61276704	1.1752614	0.42212188	0.9634028	0.998	5951	tags=88%, list=36%, signal=137%	
ELF4.MOD	ELF4.MOD		94	0.54704463	1.1740621	0.43207127	0.9219182	0.998	5338	tags=69%, list=32%, signal=102%	
FOXO3.MOD	FOXO3.MOD		95	0.59106153	1.134932	0.47575057	0.95961124	1.0	5658	tags=81%, list=34%, signal=123%	
PBX2.MOD	PBX2.MOD		96	0.58060724	1.1065485	0.4808989	0.9744508	1.0	5636	tags=77%, list=34%, signal=117%	
SP1.MOD	SP1.MOD		98	0.57831776	1.0987425	0.5067568	0.95080507	1.0	5921	tags=81%, list=36%, signal=125%	
KLF1.MOD	KLF1.MOD		93	0.56654835	1.0863365	0.4950249	0.9349211	1.0	6091	tags=83%, list=37%, signal=131%	
STAT3.MOD	STAT3.MOD		96	0.5772039	1.0733395	0.5283447	0.9209094	1.0	6227	tags=85%, list=38%, signal=137%	
MEF2A.MOD	MEF2A.MOD		80	0.48425958	1.072901	0.4604651	0.8887691	1.0	4035	tags=48%, list=25%, signal=63%	
STAT5B.MOD	STAT5B.MOD		86	0.5558565	1.0685462	0.53097343	0.86508465	1.0	6320	tags=86%, list=38%, signal=139%	
HDAC2.MOD	HDAC2.MOD		95	0.4453677	1.0684378	0.45742574	0.8363962	1.0	4364	tags=46%, list=27%, signal=63%	
FLI1.MOD	FLI1.MOD		98	0.52159405	1.0404242	0.55530477	0.8518826	1.0	5921	tags=71%, list=36%, signal=111%	
JUNB.MOD	JUNB.MOD		86	0.5018867	1.0054934	0.57471263	0.8736251	1.0	6356	tags=72%, list=39%, signal=117%	
BAZ1A.MOD	BAZ1A.MOD		95	0.53375036	1.0018361	0.59267735	0.85169494	1.0	6237	tags=74%, list=38%, signal=118%	
IL27RA.MOD	IL27RA.MOD		96	0.45251316	0.9968897	0.528827	0.83311623	1.0	6433	tags=64%, list=39%, signal=104%	
RREB1.MOD	RREB1.MOD		94	0.3507274	0.9891737	0.46280992	0.81860673	1.0	4870	tags=43%, list=30%, signal=60%	
HIF1A.MOD	HIF1A.MOD		82	0.43093896	0.9488545	0.5764706	0.84568894	1.0	6250	tags=60%, list=38%, signal=96%	
CD244.MOD	CD244.MOD		92	0.3005285	0.7895819	0.6455696	1.0	1.0	5268	tags=37%, list=32%, signal=54%	
TAF9.MOD	TAF9.MOD		97	0.33138335	0.7712175	0.69142854	0.9976327	1.0	6086	tags=48%, list=37%, signal=76%	
FOXJ2.MOD	FOXJ2.MOD		93	0.32735133	0.723847	0.71100914	1.0	1.0	6435	tags=54%, list=39%, signal=88%	
EOMES.MOD	EOMES.MOD		91	0.22709459	0.62810844	0.78004074	1.0	1.0	4402	tags=33%, list=27%, signal=45%	
YY1.MOD	YY1.MOD		91	0.16784288	0.5308106	0.8619909	1.0	1.0	4075	tags=23%, list=25%, signal=30%	
PRF1.MOD	PRF1.MOD		92	0.21668354	0.5267605	0.8552916	1.0	1.0	5268	tags=33%, list=32%, signal=48%	
MORF4L2.MOD	MORF4L2.MOD		90	0.12979409	0.51221985	0.9837067	1.0	1.0	1587	tags=10%, list=10%, signal=11%	
HBP1.MOD	HBP1.MOD		97	0.23645976	0.48992735	0.8438914	1.0	1.0	7071	tags=51%, list=43%, signal=88%	
FASLG.MOD	FASLG.MOD		89	0.18817557	0.45748585	0.8877119	1.0	1.0	5848	tags=36%, list=36%, signal=55%	
KLRD1.MOD	KLRD1.MOD		91	0.18364449	0.452832	0.9113924	1.0	1.0	5268	tags=34%, list=32%, signal=50%	
ITGB3.MOD	ITGB3.MOD		89	0.18793526	0.41414976	0.91721135	1.0	1.0	6668	tags=42%, list=41%, signal=69%	
GZMA.MOD	GZMA.MOD		91	0.15775591	0.40608343	0.93801653	1.0	1.0	5593	tags=35%, list=34%, signal=53%	
NKG7.MOD	NKG7.MOD		89	0.16385356	0.4037979	0.94871795	1.0	1.0	5211	tags=31%, list=32%, signal=46%	
CD160.MOD	CD160.MOD		92	0.14545889	0.37190294	0.9723404	1.0	1.0	5268	tags=29%, list=32%, signal=43%	
GZMB.MOD	GZMB.MOD		91	0.14782926	0.3627162	0.97008544	1.0	1.0	5268	tags=29%, list=32%, signal=42%	
KIR2DL1.MOD	KIR2DL1.MOD		81	0.14841194	0.35445988	0.978355	1.0	1.0	5848	tags=32%, list=36%, signal=50%	
GNLY.MOD	GNLY.MOD		90	0.13455853	0.32964584	0.9916143	1.0	1.0	5268	tags=30%, list=32%, signal=44%	
KIR2DS4.MOD	KIR2DS4.MOD		80	0.14018136	0.3287719	0.9763441	1.0	1.0	5848	tags=34%, list=36%, signal=52%	
NCAM1.MOD	NCAM1.MOD		85	0.13194855	0.31712726	0.9935484	0.9941954	1.0	5075	tags=26%, list=31%, signal=37%	
IL2RB.MOD	IL2RB.MOD		93	0.12060022	0.306985	0.9957806	0.97980464	1.0	5268	tags=28%, list=32%, signal=41%	
