logFC	AveExpr	t	P.Value	adj.P.Val	B
IGHV1-24	-0.097749790014981	1.67295068293257	-5.6696411700574	8.41964914746226e-07	0.0138621103563819	5.48661692242151
RASGEF1A	0.0473309416856427	2.93125175091557	5.32335738900156	2.77990912456216e-06	0.0209672327725429	4.24277739114227
MACROD2	-0.0808130274486024	2.50565184500743	-5.19845028612391	4.26271166821907e-06	0.0209672327725429	3.93492967908566
IGHV3-21	-0.0984708115821193	3.01623314584642	-5.14620765210461	5.0940798767111e-06	0.0209672327725429	3.74140273013201
CLEC5A	0.0651031811885895	2.44964694176142	4.97403980821157	9.13734627007566e-06	0.0266202795676137	3.11646025627154
RETN	0.0793993780726377	2.40060716050794	4.95631423964838	9.70126806399917e-06	0.0266202795676137	3.04535728096222
SUSD4	-0.0642875443810395	2.7325429261672	-4.82751822210787	1.49656429288559e-05	0.0351991921686692	2.72332998098227
FAM111B	-0.0710878676292188	1.42871272893577	-4.77538488216982	1.78207489084595e-05	0.0366751012536097	2.53822727658916
SPATS2	-0.0349853861286899	2.69139762311412	-4.68762610101606	2.38810892566637e-05	0.0436864726135235	2.26316974836766
BCAM	0.0678477315841035	0.0715805659788041	4.61659616577647	3.0230492883873e-05	0.0497714834840085	2.03686135691116
IGHV1-58	-0.0659310133987548	0.516435128494338	-4.56182445639024	3.62307002007876e-05	0.0524041205746322	1.78369295978664
KANK2	0.0523728649745134	1.21891693111563	4.5215052013639	4.1378375089299e-05	0.0524041205746322	1.76164253951439
DDO	0.0691412896321324	-0.0776619846210111	4.44991454193561	5.23377692435841e-05	0.0604237531299987	1.49563699388146
CPNE5	-0.0553110460748409	5.18750715304492	-4.52625143420478	4.07370868074604e-05	0.0524041205746322	1.48906738566997
SEC14L2	-0.0460475938003466	1.55174500032688	-4.38953777060913	6.37464889098811e-05	0.0604237531299987	1.34360499676538
CLIP3	-0.0514894425827621	1.6010627089309	-4.37858867268972	6.6060954588191e-05	0.0604237531299987	1.30519917964306
IGHV5-51	-0.076315727549796	3.90016660133166	-4.41397547200115	5.88626442507742e-05	0.0604237531299987	1.30117996411716
C11orf80	-0.0401713477712984	2.5756003722765	-4.33783660973778	7.54182435960044e-05	0.0653518927665587	1.17185021475608
MARVELD1	0.0486198058775644	4.34924654265522	4.41935087659486	5.78384660168559e-05	0.0604237531299987	1.13389594626332
IGHV2-70	-0.0708310149512544	1.44228928167096	-4.28101797770974	9.06519790097853e-05	0.067840644655323	0.976424686102333
UBBP1	0.0392258344983373	2.73342102107263	4.24198478392694	0.000102813636159998	0.0735966828581828	0.778921591801932
IGLV3-16	-0.0488401689997076	0.257680831113887	-4.22745255207217	0.000107735739123192	0.0739067170385098	0.729906794780899
IRF4	-0.0401074904607311	5.51279098410739	-4.29448859285099	8.678962204527e-05	0.067840644655323	0.713838423782632
PDE7B	-0.0543446096177041	1.15441775632676	-4.19198710434151	0.000120730403574556	0.0783352960918577	0.703169893408908
GDE1	0.0274907408225544	5.898385104259	4.2972397663279	8.60207518009814e-05	0.067840644655323	0.673150278654572
TOX2	-0.0651544334552628	2.22106740593259	-4.16854385410091	0.000130143986591356	0.0793589109348182	0.655513246189743
DRAXIN	0.0600304369810328	1.1321696562266	4.13118441638716	0.000146637968421297	0.0862231254317228	0.543461230294935
IGLV1-47	-0.0917574355852308	2.58866752142102	-4.06838612755954	0.000179042186712851	0.100150048009189	0.327590536193855
PER1	0.0441383579372132	5.89560086422099	4.18438674783743	0.000123707343196568	0.0783352960918577	0.324372575000003
TPBG	0.0557343638765839	0.100259645412387	4.05857405375836	0.000184695857035299	0.100150048009189	0.295301054041319
IGLV5-37	-0.0535963931796549	0.0793371815587392	-4.03687288939672	0.000197821543616877	0.101779184190883	0.123100463543753
PKIG	-0.0491478341381895	4.05330656120843	-4.01220492893496	0.000213840484622191	0.106686961782417	0.0124930830402468
FKBP5	0.0515118541865271	8.17203032888619	4.05201360602579	0.00018857212635355	0.100150048009189	-0.021244706647872
ATP8B4	0.0391223444363146	3.52043003510641	3.96800568476806	0.000245739240151717	0.112384745829385	-0.158274296757828
DAB2IP	0.068652193525773	0.882856151421585	3.89328740928466	0.00031041015459888	0.127677474541572	-0.174090554172773
IGHM	-0.0583721954077882	10.4400434799545	-3.98300163542323	0.000234432150700537	0.110276883689533	-0.18458310604215
LGALS3	0.0493547002380296	6.72504354754031	3.98403271592835	0.000233673489573636	0.110276883689533	-0.277100875352848
TNFRSF17	-0.0869384640422657	2.45658146886243	-3.86128306678323	0.000342887327353021	0.127677474541572	-0.285997130985516
SLC31A2	0.0566818764647718	2.38339627618306	3.86163270395117	0.000342515416128383	0.127677474541572	-0.354927167911121
IGKV1-16	-0.0902980945206173	2.06859730615151	-3.83658822083464	0.000370164470541906	0.127677474541572	-0.363708742720437
IGHV4-34	-0.0625162472650648	3.44277669133365	-3.85259170216415	0.000352258638541176	0.127677474541572	-0.369261873853873
PLA2G2D	-0.0393498163463569	0.243523935326452	-3.86015166507502	0.000344093479265593	0.127677474541572	-0.37092147687039
DCAF12	0.0410238319488952	7.07732868331346	3.9363088225091	0.000271401594592772	0.120766374415551	-0.41374343788099
MTHFD1L	-0.0359433904529514	2.61837118211135	-3.81176401735988	0.000399688098471434	0.127677474541572	-0.427365634869102
DYRK3	0.0427253529175746	-0.0287970573567227	3.81615797129539	0.000394302042068083	0.127677474541572	-0.447705463739234
IGHV3-43	-0.0663577452775907	0.984303457832218	-3.81455760180025	0.000396255605670428	0.127677474541572	-0.459361105848607
SH3PXD2B	0.0637934223430669	1.58081674152706	3.7904241985172	0.000426870527617038	0.127677474541572	-0.49902992981437
FEZ1	0.0511444663278976	1.71683474678162	3.77349980049542	0.000449686345297927	0.127677474541572	-0.539621498015427
APBB2	-0.0410493440667937	1.05715261273501	-3.7632891083893	0.000464014541551055	0.127677474541572	-0.57415875563691
FLT3	0.0460908947844378	3.29909654725253	3.81675107044151	0.000393580409167277	0.127677474541572	-0.590125054418187
PTX3	0.0461864809721176	1.56060332610325	3.74134025245239	0.0004963167134755	0.127677474541572	-0.617198810778713
CFH	0.0677010769049489	1.2013175857547	3.74419428681048	0.000491997219297822	0.127677474541572	-0.618745573652442
GPRC5B	-0.0594453903780576	1.49950691290094	-3.7447002455546	0.000491235249562813	0.127677474541572	-0.620860853419345
C3orf52	-0.0359427291139319	1.04550893907045	-3.74183049894327	0.000495572154381403	0.127677474541572	-0.633729565500192
TIMELESS	-0.028906759787059	4.21063172236141	-3.80761677239103	0.000404836743336716	0.127677474541572	-0.643232612117198
CPM	0.0395583701440643	3.05624399332384	3.78198527290998	0.00043810406366599	0.127677474541572	-0.653988532272192
IGKV1D-8	-0.0535923595066909	0.319105762322074	-3.75802379130028	0.000471573840446518	0.127677474541572	-0.68130559378108
IGHV3-23	-0.0856596043512865	4.63949931156804	-3.76810956685101	0.000457196289279271	0.127677474541572	-0.724920367862363
RNF152	0.0291624521453324	-0.698018744233856	3.74940241859973	0.000484207908667805	0.127677474541572	-0.728745620225903
SNAI3	0.0246058168052034	4.60369301823826	3.80822542350845	0.000404077144467926	0.127677474541572	-0.74401523485969
F2R	0.0458117421664773	3.98716779056464	3.7877880558028	0.000430349509515397	0.127677474541572	-0.758043389240438
AXL	0.0540809459010292	0.746941827593995	3.67467245855347	0.000608237403285391	0.141478680293036	-0.79967618475947
EFNA1	-0.0579551743122908	1.72095582819186	-3.66905060131893	0.000618711429852929	0.141478680293036	-0.828881065068584
IGHV6-1	-0.0774146477284193	1.97685055557185	-3.67243444456036	0.000612386467844274	0.141478680293036	-0.829949273246801
PAM	0.0401046497654528	4.60849771912781	3.78257917921528	0.000437304256282571	0.127677474541572	-0.830947352791902
MAFF	0.0302397756346417	2.97418306912873	3.70865280671352	0.000548462754484556	0.136816527118693	-0.840961037820393
THBD	0.0689840839380918	4.87425160463067	3.76334385586733	0.000463936557844972	0.127677474541572	-0.913916054862929
DSP	-0.10794746917105	2.86296736780618	-3.64475044665947	0.00066600979345661	0.143209087245377	-0.939702221785478
TRIB2	-0.021970085085991	7.03902023432995	-3.76356192729807	0.000463626056510332	0.127677474541572	-0.945414808549042
BPI	0.0778875274540515	2.94178391722753	3.67181124389889	0.000613546650393213	0.141478680293036	-1.00192047936927
IGHV1-18	-0.0759218015475335	2.91788529212276	-3.60276381319654	0.000756017518802069	0.146924651236266	-1.04030305026839
IGLV6-57	-0.0911246719368036	2.49987836592497	-3.59801950266306	0.000766891949020428	0.146924651236266	-1.0513722860518
IRAK3	0.0585167347141184	6.4418107971251	3.71994398566415	0.000529881175478813	0.134214825739741	-1.06463522958823
DPPA4	-0.049590423986884	1.28864085291708	-3.57867258735079	0.0008128080731088	0.146924651236266	-1.09616855813449
IGHV3-15	-0.0854631457292264	2.9770399415111	-3.58491804637038	0.000797705397589346	0.146924651236266	-1.09974747574177
TSPAN4	0.0430379602857258	4.28913810874783	3.67757785410226	0.000602891323865989	0.141478680293036	-1.10935169787266
