logFC	AveExpr	t	P.Value	adj.P.Val	B
MACROD2	-0.0778920167824272	2.51794845938888	-6.27752094884752	4.12647059319106e-08	0.000417863728351504	8.24409515256215
RASGEF1A	0.0439064872399633	2.94121828973537	6.22419261550862	5.0760899945518e-08	0.000417863728351504	7.91935259346686
CFH	0.0846514118272987	1.32297577495747	5.90121213820874	1.76690911332674e-07	0.000783772648349761	6.79309831522703
MS4A1	-0.0539586781398256	7.5601532538082	-5.88172012383617	1.90420954409563e-07	0.000783772648349761	6.37246966539251
RALGPS2	-0.0463049219710724	5.75852488339104	-5.60910252949744	5.39019604944384e-07	0.00177488375516087	5.38282346370562
IGHV1-24	-0.0812237516072393	1.68647996650845	-5.51486837013194	7.70080783968574e-07	0.00211310167120977	5.37106528221446
SWAP70	-0.0383812808279067	5.94727833572028	-5.44398600392442	1.00600529859961e-06	0.00236612446230629	4.75158283687027
SMC6	-0.0306523234858379	5.15719319826824	-5.36436511950793	1.35662689360908e-06	0.00250219814284152	4.51036481476783
MARVELD1	0.045674926654241	4.42324043838302	5.36204514351128	1.36847183975206e-06	0.00250219814284152	4.50711242983706
CR2	-0.0684051606305854	4.68378343965692	-5.30853599073118	1.67177961438634e-06	0.00250219814284152	4.40610419730759
TRIB2	-0.0241248501858978	7.03499754710489	-5.33188800820214	1.53203330654296e-06	0.00250219814284152	4.31532572792122
PDE7B	-0.0492118749278731	1.14580515799154	-5.05272138088085	4.31526907977745e-06	0.00570221909366676	3.70504418867065
RETN	0.0633023884698768	2.46276081763939	5.00978971528459	5.05194705487448e-06	0.00570221909366676	3.44935093945553
ZNF860	-0.0551831524621864	1.70959575867567	-4.96795997593188	5.8878598513323e-06	0.00570221909366676	3.42115505518202
FLT3	0.0475971687602936	3.2977158415737	4.9745159019128	5.74841513458941e-06	0.00570221909366676	3.23674643362592
FAM111B	-0.0643561490412492	1.41488188429769	-4.91769731503562	7.07295838322094e-06	0.00612890456954472	3.2209868177288
PER1	0.0406609136292331	5.92092176739399	4.99264535685383	5.37944581711304e-06	0.00570221909366676	3.08846463404281
LGALS3	0.0464267558586906	6.76301926231421	4.98926971922224	5.44633991362993e-06	0.00570221909366676	3.08424376836859
DRAXIN	0.060567929541624	1.10038820086298	4.86000199268034	8.72290593274572e-06	0.00718069616383627	3.03753578072909
FAM129C	-0.0487806676884131	6.12720590434714	-4.93650907282112	6.60429984627959e-06	0.00604073292606373	2.90942255581872
