logFC	AveExpr	t	P.Value	adj.P.Val	B
CDCA7L	-0.842969198676321	4.56349174050857	-4.86810788088851	8.48532996422791e-06	0.0687538183687267	3.33086170897152
PTK2	-0.521301261113367	3.8585948172736	-4.79921450664482	1.08871875442242e-05	0.0687538183687267	3.03634567046558
PSAT1P3	-0.629482647319618	-0.276705418860943	-4.70334938191073	1.53662032072873e-05	0.0687538183687267	2.69384842548452
ORAI3	0.391262927225089	4.3318433814781	4.5627519267274	2.53447987954856e-05	0.0687538183687267	2.4186235095673
HM13	0.405981870597929	7.22974879877848	4.49490040533501	3.2196104008039e-05	0.0687538183687267	2.2427875383983
SLC35D1	-0.330923371188397	4.98756127617475	-4.50050265032541	3.15680695924752e-05	0.0687538183687267	2.23889201375406
B3GNT9	0.563464921547518	2.20930557147563	4.51438607847839	3.00626460015879e-05	0.0687538183687267	1.98233555894859
CLEC17A	-0.772448882903307	3.77234965868175	-4.41592514298529	4.24548628428151e-05	0.0775909033979291	1.84474074705068
GNA11	-0.743063619798266	1.59330199123327	-4.48438374235	3.34080750090995e-05	0.0687538183687267	1.78838785220935
IL21R	-0.552968177426524	4.95477795211087	-4.35235920536119	5.29598693995591e-05	0.0775909033979291	1.77534124489018
JTB	0.278324431530476	7.21015834223748	4.34327733928081	5.46532348386056e-05	0.0775909033979291	1.76957978326918
CD22	-0.691851230148962	7.3153629448804	-4.27809622201937	6.8445883462479e-05	0.0775909033979291	1.56925640725303
AFAP1L1	-0.680308581625168	-0.202352818759307	-4.28510995080645	6.68132640310864e-05	0.0775909033979291	1.45231493647159
RALGPS2	-0.61137047221096	5.75852488339104	-4.21768330300871	8.4204563058426e-05	0.0775909033979291	1.38121636992662
ARHGAP17	-0.403408602998681	5.93094615455779	-4.21614982933142	8.46471321349458e-05	0.0775909033979291	1.37833657744935
PLBD1	0.759829778926204	7.74142558904602	4.21151126337768	8.59996022855148e-05	0.0775909033979291	1.36125761690856
TIMP1	0.458270823569672	6.86735486922325	4.20829067821467	8.69509123046814e-05	0.0775909033979291	1.3548125091107
PAX5	-0.821385120805908	6.23009983485041	-4.19302320895734	9.16010491407946e-05	0.0775909033979291	1.30780832942051
GPR125	-0.644859386464496	2.0689072622228	-4.29847392996892	6.38063604407672e-05	0.0775909033979291	1.25361527122737
GGA2	-0.280656475266328	7.1506327609958	-4.16230434431043	0.000101697601987883	0.0775909033979291	1.21483716994465
ANO10	0.369801909472745	4.30061827210646	4.1610704038127	0.00010212488031463	0.0775909033979291	1.19306596942901
FCRL1	-0.891969710813798	5.6491982786191	-4.14917237561249	0.000106334907674257	0.0775909033979291	1.17100191506689
HEBP2	0.397496519069308	5.63405924403543	4.143519400417	0.000108393511792539	0.0775909033979291	1.15770685784977
KLHL6	-0.296801341608653	6.38655090448402	-4.10986766716204	0.000121469104233202	0.0800747305971851	1.05599806734199
MS4A1	-0.678439437238999	7.5601532538082	-4.10275431593671	0.000124421954832084	0.0800747305971851	1.03449927624717
SNX22	-0.724211221015596	4.78286492803016	-4.07370261475614	0.000137217774267573	0.0800747305971851	0.930229062422477
SPTBN1	-0.488936424845499	7.71346722614942	-4.06377924660139	0.000141872765887069	0.0800747305971851	0.917341043262475
CD40	-0.44223298476759	5.03218198165812	-4.06325149903917	0.00014212455071092	0.0800747305971851	0.910129651941445
C20orf27	0.50221281362275	5.96937449813552	4.05542654286196	0.000145908765665425	0.0800747305971851	0.892108164808323
IL18	0.63840035175446	2.7108094454324	4.08980198055746	0.000129977664430347	0.0800747305971851	0.869744976005018
