logFC	AveExpr	t	P.Value	adj.P.Val	B
IGSF22	-0.440463807749409	0.400832529567571	-4.24925503016946	5.21477782998282e-05	0.747637920390977	-1.04768013378201
ZNF774	0.41332611875271	-0.399273896809731	4.09836814215682	9.08209329921012e-05	0.747637920390977	-1.06370040144867
ZNF574	-0.220760016931062	5.19357880575283	-3.49451529320846	0.00073852940174166	0.759239291265312	-1.35141361006491
ARHGAP18	0.280855460105934	4.01761483822631	3.60553827131237	0.000510336401960273	0.759239291265312	-1.40437383533518
WDR33	-0.102417101512226	6.86730769973212	-3.34174600049182	0.00121315640821173	0.759239291265312	-1.56842923124692
ACOT9	0.283191123714681	5.2457880110758	3.34250422480788	0.00121021481622254	0.759239291265312	-1.62102993871934
CHMP5	0.29358746395542	5.57592081337706	3.2410707818494	0.00166922035707362	0.759239291265312	-1.78464874822018
LINC00649	-0.329130026973507	4.96431545910224	-3.27875186530815	0.00148239743852876	0.759239291265312	-1.81683351660957
E2F1	0.45617533480771	2.55277125617083	3.60765070680313	0.000506724087925496	0.759239291265312	-1.97125781298254
USP11	-0.239473058537209	6.39432147949688	-3.11651808932728	0.00245524826958613	0.759239291265312	-2.00082051331133
PDCD1LG2	0.414442893469902	-0.0907351512753723	3.56403122614657	0.000586462281732059	0.759239291265312	-2.02355702622354
ZNF385D	0.419111468030225	0.104199982756848	3.56483007958047	0.000584900691080218	0.759239291265312	-2.0798665036324
LPAR1	0.542416663879016	2.86320969073409	3.44557911630275	0.000867145176276855	0.759239291265312	-2.08734263616168
PARVB	0.248218805833703	5.04813442845661	3.08402763367661	0.00271076643241088	0.759239291265312	-2.13716738545983
TOR1B	0.24189281608069	5.65647586999595	3.03783583354338	0.00311675636616592	0.759239291265312	-2.16672520555159
RSBN1L-AS1	0.336065019170141	2.63822520204571	3.45226741958748	0.000848398243375616	0.759239291265312	-2.18235265590912
DPF1	-0.187333527246269	-0.815349860302876	-3.27182031975939	0.00151522319092253	0.759239291265312	-2.19935171395903
HAVCR2	0.292775386647621	4.71840952417295	3.0724941533539	0.00280726166987641	0.759239291265312	-2.20241458710429
PSMA4	0.177659573775025	6.79338707134532	3.00596810645383	0.00342895317012951	0.759239291265312	-2.2169630171088
NFRKB	-0.121464709667677	5.87563999580286	-2.97098258768291	0.00380486167348921	0.759239291265312	-2.28429180357659
PSME2	0.227161769334501	6.4500557877448	2.96227578187307	0.0039041542850117	0.759239291265312	-2.29127068440217
ITPKB	-0.177149462113727	7.91363544119914	-2.98414065565555	0.00365922600801091	0.759239291265312	-2.30102360227436
KLF2	-0.230730242341584	9.48407366323217	-3.03272501232864	0.00316498388838116	0.759239291265312	-2.30106950499766
RPL13AP6	-0.439138873999466	2.42428978654108	-3.46999633277799	0.000800537070649809	0.759239291265312	-2.30683401987648
MOB1B	0.228759969292709	5.03127266225764	2.98499410050178	0.00364996022239767	0.759239291265312	-2.31837099617248
NR1D1	-0.300123694216727	4.18149674988598	-3.0825344805531	0.00272308296474967	0.759239291265312	-2.32848425425737
GCH1	0.238017369944877	5.81657026128871	2.93838341949672	0.00418904442174772	0.759239291265312	-2.34211650981809
STAT1	0.327484362096557	8.52363950697466	2.97694627216865	0.00373820349470197	0.759239291265312	-2.3541843327164
PPM1L	0.277801191327891	3.98341965324618	3.05596750025813	0.00295110087476041	0.759239291265312	-2.37640511599503
GUCY1B3	0.491348245291077	2.13471229168867	3.41619738375065	0.000954221851044153	0.759239291265312	-2.37969355777404
RSAD1	-0.127356604108481	5.96923574814904	-2.88589021818906	0.0048835203330064	0.759239291265312	-2.43529443818977
ZNF575	-0.341093917160672	2.35083680292445	-3.38184508936139	0.00106645972728335	0.759239291265312	-2.43876569210566
BET1L	-0.136179375014474	6.09958143775205	-2.87429488360575	0.00505055717658232	0.759239291265312	-2.45278895195509
FAM90A1	0.350179361619465	-0.411779495251676	3.20515006602534	0.00186762089360574	0.759239291265312	-2.45366876503816
C2orf48	0.231353459649483	-0.617207906195721	3.15042983866726	0.00221258085314348	0.759239291265312	-2.46911232344879
FOLR3	0.910778103115725	4.31238242832173	2.94403491064954	0.00411997621737815	0.759239291265312	-2.4701211362149
FMO4	0.294042122700868	1.76501329495393	3.43036685693451	0.000911248395737072	0.759239291265312	-2.47458959748702
C19orf52	-0.170242508560876	3.84874618236377	-3.03624524926111	0.00313169218517926	0.759239291265312	-2.4754672942259
CXorf21	0.235504642228786	4.80458547677638	2.90956288283972	0.00455816974296132	0.759239291265312	-2.47763597402574
E2F2	0.309028340181488	3.93642467441304	2.98470723726615	0.00365307225189877	0.759239291265312	-2.50117298787898
FAM46A	0.254943805834277	5.31832384035146	2.85883367922442	0.00528145549508837	0.759239291265312	-2.5131720184719
TRBV7-7	-0.37701669143035	0.0339642035062069	-3.19868863348937	0.00190556745881581	0.759239291265312	-2.51858435655162
TNFSF10	0.38268932304729	7.57854318566978	2.8553727165208	0.00533445206099271	0.759239291265312	-2.52168354430399
NCOA5	-0.147277157126729	6.22520239543998	-2.82531634843309	0.00581564480179963	0.759239291265312	-2.53840553742429
TRIM21	0.222564544747838	6.81741467720107	2.8235821241655	0.00584458764968291	0.759239291265312	-2.54809111054697
PSTPIP2	0.340101502294646	5.74056625380882	2.82124105180019	0.00588386770972964	0.759239291265312	-2.554246568047
TSPAN18	-0.254711214945528	5.29588546211956	-2.8340563834779	0.00567176977747283	0.759239291265312	-2.57128498081817
RAB27B	0.400834176889216	3.27376039473254	3.03074620471141	0.00318384162317375	0.759239291265312	-2.59224171152211
RP9	-0.27961754034456	2.94832060274117	-3.11909124855505	0.00243600062633026	0.759239291265312	-2.61839937978029
SLC25A27	0.295430302605761	-0.245576047134145	3.11415785647391	0.00247302750148995	0.759239291265312	-2.6199394439485
CASP1	0.304434054500727	7.63017558779812	2.79444089481093	0.00635109536508463	0.759239291265312	-2.6283234563824
PATZ1	-0.182079825279837	6.21290388490502	-2.77268056348849	0.00675516662459115	0.759239291265312	-2.63143983892319
RIBC1	0.329418077823682	0.165236316404121	3.16701941084315	0.00210218642905659	0.759239291265312	-2.64202799052413
CXCR2P1	0.414617987353332	4.74713096613035	2.80886940241905	0.00609549362592201	0.759239291265312	-2.64973017832975
TBC1D30	0.426489015951831	2.0582690293449	3.22837506165465	0.00173697477227741	0.759239291265312	-2.65329749731932
SRC	0.29693229066294	5.40422977279823	2.77208847368685	0.00676648247968612	0.759239291265312	-2.65693308739017
TMLHE-AS1	0.208958820761246	-0.812810560996041	2.98576418701268	0.00364161807263166	0.759239291265312	-2.66009453763383
IFI16	0.221967436301355	8.14209188216006	2.78525802796168	0.00651883820036089	0.759239291265312	-2.6644406045389
CBWD2	0.235525832333054	2.69719639612562	3.10285259732589	0.00255986073284642	0.759239291265312	-2.66651247338575
FBXL12	-0.123000078927843	4.78279893094801	-2.80128587182192	0.00622863782456805	0.759239291265312	-2.67638746195094
